day,step_start,step_end,page_start,page_end,,
1,1,6,9,12,,6,x,
2,7,21,13,17,,15,x,
3,22,32,18,23,,11,x,
4,33,43,24,31,,11,x,
5,44,52,32,41,,9,x,
6,53,71,42,46,,19,x,
7,72,83,47,50,,12,x,
8,84,91,51,52,,8,x,
9,92,101,53,58,,10,,
10,102,109,59,63,,8,,
11,110,119,64,71,,10,,
12,120,128,72,75,,9,,
13,129,141,76,80,,13,,
14,142,151,81,86,,10,,
15,152,156,87,91,,5,,
16,157,170,93,102,,14,,
17,171,187,103,108,,17,,
18,188,197,109,115,,10,,
19,198,205,116,124,,8,,
20,206,223,125,129,,18,,
21,224,231,130,133,,8,x,
22,232,239,134,141,,8,x,
23,240,251,142,145,,12,x,
24,252,261,146,151,,10,x,
