day,step_start,step_end,page_start,page_end,,
1,1,16,6,12,,16
2,17,32,13,19,,16
3,33,51,20,25,,19
4,51,67,26,37,,17
5,68,82,38,47,,15
6,83,99,48,53,,17
7,100,115,54,59,,16
8,116,131,60,66,,16
9,132,147,67,83,,16
10,148,169,84,94,,22
11,170,180,95,106,,11
12,181,199,107,114,,19
13,200,216,115,120,,17
14,217,230,121,129,,14
15,231,243,130,138,,13
16,244,263,139,145,,20
17,264,279,146,153,,16
18,280,299,154,165,,20
19,300,312,166,174,,13
20,313,329,176,183,,17
21,330,346,184,195,,17
22,347,363,196,200,,17
23,364,382,201,211,,19
24,383,397,212,219,,15
